POINT,E,N,ORI,TYPE
c2,5589.43732,3081.423027,,cor
c3,6237.255579,4335.391386,,cor
c4,6490.803072,4058.454738,,cor
c5,7395.258121,4209.684667,,cor
c1,,,2.900543291,ori
c2,,,4.432811564,ori
c3,,,5.386577333,ori
c4,,,4.321690348,ori
c5,,,3.700999011,ori
